34200.03988397,1
34200.317289601,1
34200.318742165,2
34200.318873831,2
34200.319035628,2
34200.322967801,1
34200.325267561,1
34200.336364207,2
34200.351542475,1
34200.354023715,2
34200.358646021,1
34200.36513166,2
34200.36977536,2
34200.38561777,1
34200.675100516,1
34200.686881228,1
34200.787236519,1
34200.935533922,1
34200.995225317,2
34201.063535939,1
34201.085742287,1
34201.369982515,2
34201.377337785,2
34201.628977093,2
34201.644925875,1
34201.746521107,2
34201.927354706,2
34202.02950681,2
34202.214995101,1
34202.234931207,1
34202.263232158,1
34202.301006479,1
34202.31074005,1
34202.325557569,1
34202.325568106,1
34202.327299069,1
34202.328149071,1
34202.328558325,1
34202.32892823,1
34202.333700071,1
34202.333957572,1
34202.334565433,1
34202.334749942,1
34202.336670755,1
34202.337565967,1
34202.338288183,1
34202.340623547,1
34202.343025766,1
34202.343359679,1
34202.348421991,1
34202.350364317,1
34202.406855203,1
34202.47986657,2
34202.775155708,1
34202.788632157,1
34202.811103729,1
34203.041972671,2
34203.552959065,1
34203.554902694,1
34203.554995134,1
34203.716688438,1
34203.716932465,1
34203.718924166,2
34203.71908491,2
34203.720226702,2
34203.720284021,2
34203.721069654,2
34203.721372773,2
34203.741335069,1
34203.749214919,1
34203.800013137,1
34204.267880787,2
34204.275191936,2
34204.408999416,1
34204.411183071,2
34204.451755053,1
34204.55797185,1
34204.76387733,2
34204.769303272,1
34204.773492555,1
34204.986876707,1
34204.993717561,1
34205.026113119,1
34205.032207827,1
34205.036730702,1
34205.047939979,2
34205.051497673,2
34205.052122998,2
34205.06606664,2
34205.067637736,2
34205.069080969,2
34205.071328602,2
34205.07633184,1
34205.125999274,2
34205.208371674,2
34205.248226517,2
34205.271635913,2
34205.282471472,2
34205.621648998,2
34205.765216584,1
34206.274364456,2
34206.283405187,1
34206.286153477,2
34206.289531607,2
34206.292437044,2
34206.296125518,1
34206.296151772,1
34206.296322101,2
34206.297178998,2
34206.297216055,2
34206.297477057,2
34206.297955499,2
34206.298379665,2
34206.300315411,2
34207.359519969,1
34207.671193664,1
34207.947524086,1
34208.485108206,1
34210.716122727,1
34213.122531125,1
34215.020715978,1
34216.579121017,2
34217.205731086,1
34217.208209339,1
34217.209285092,1
34217.211953947,1
34217.255155362,1
34217.255980871,1
34217.256140959,1
34218.05059073,1
34218.168296929,2
34219.35307188,2
34220.204036038,1
34220.412888227,1
34220.481551836,1
34221.276275811,2
34221.790439842,1
34222.396043768,1
34222.397106489,1
34222.399673186,1
34222.403688396,1
34225.274548049,2
34225.516031557,1
34225.524407873,1
34225.524608128,2
34226.871112104,1
34226.968845465,2
34227.277950424,2
34227.277993338,2
34227.732089124,1
34228.782373893,1
34228.834399567,1
34230.961361178,1
34231.613800909,1
34232.259285049,1
34232.493795551,1
34233.311601884,2
34233.312046229,2
34233.35469422,2
34234.269711619,1
34234.275739494,1
34234.358675887,1
